no;scheme;fas;water;cement;slump;sikacim_pct;sikacim_kg;fine_aggregate_kg;coarse_aggregate_kg
1;0;0.50245098;205;408;8;0;0;715;1072
2;1A;0.50245098;205;408;11;0.2;0.816;715;1072
3;1B;0.50245098;205;408;23;1.1;4.488;715;1072
4;1C;0.50245098;205;408;22;2;8.16;715;1072
5;2A;0.49754902;203;408;9.5;0.2;0.816;716;1073
6;2B;0.426470588;174;408;4.5;1.1;4.488;727;1091
7;2B-1;0.470588235;192;408;10;1.1;4.488;727;1091
8;2C;0.401960784;164;408;10;2;8.16;731;1097
9;3A;0.502475248;203;404;9.5;0.2;0.808;717;1076
10;3B;0.501440922;174;347;11;1.1;3.817;752;1127
11;3C;0.503067485;164;326;10;2;6.52;764;1146
12;4B;0.50214334;195;388;;;1.633;727;1090
13;4C;0.50214334;188;374;;;2.449;735;1103
14;4D;0.50214334;182;362;;;3.266;743;1114
15;5A;0.47608551;203;426;;;0.816;708;1062
16;5B;0.47608551;195;410;;;1.633;718;1077
17;5C;0.47608551;188;395;;;2.449;727;1090
18;5D;0.47608551;182;382;;;3.266;735;1102
19;6A;0.47608551;185;388;;;1.633;731;1097
20;6B;0.47608551;182;382;;;3.266;744;1116
